exp_id,model,modality,augment,seed,best_epoch,val_success,val_iou,val_angle,val_loss,ckpt_best,ckpt_last
EXP1_SIMPLE_RGB_seed0,simple_cnn,RGB,,0,8,0.199623,0.298672,71.72,18.777305,/home/laboratorio/TFM/agarre_inteligente/experiments/EXP1_SIMPLE_RGB_seed0/checkpoints/best.pth,/home/laboratorio/TFM/agarre_inteligente/experiments/EXP1_SIMPLE_RGB_seed0/checkpoints/last.pth
EXP1_SIMPLE_RGB_seed1,simple_cnn,RGB,,1,10,0.160075,0.282304,75.76,19.722280,/home/laboratorio/TFM/agarre_inteligente/experiments/EXP1_SIMPLE_RGB_seed1/checkpoints/best.pth,/home/laboratorio/TFM/agarre_inteligente/experiments/EXP1_SIMPLE_RGB_seed1/checkpoints/last.pth
EXP1_SIMPLE_RGB_seed2,simple_cnn,RGB,,2,9,0.182674,0.290347,72.63,19.401650,/home/laboratorio/TFM/agarre_inteligente/experiments/EXP1_SIMPLE_RGB_seed2/checkpoints/best.pth,/home/laboratorio/TFM/agarre_inteligente/experiments/EXP1_SIMPLE_RGB_seed2/checkpoints/last.pth
EXP2_SIMPLE_RGBD_seed0,simple_cnn,RGBD,,0,9,0.216573,0.307491,70.73,18.689281,/home/laboratorio/TFM/agarre_inteligente/experiments/EXP2_SIMPLE_RGBD_seed0/checkpoints/best.pth,/home/laboratorio/TFM/agarre_inteligente/experiments/EXP2_SIMPLE_RGBD_seed0/checkpoints/last.pth
EXP2_SIMPLE_RGBD_seed1,simple_cnn,RGBD,,1,9,0.173258,0.279090,74.59,19.899670,/home/laboratorio/TFM/agarre_inteligente/experiments/EXP2_SIMPLE_RGBD_seed1/checkpoints/best.pth,/home/laboratorio/TFM/agarre_inteligente/experiments/EXP2_SIMPLE_RGBD_seed1/checkpoints/last.pth
EXP2_SIMPLE_RGBD_seed2,simple_cnn,RGBD,,2,8,0.180791,0.274909,73.61,19.993421,/home/laboratorio/TFM/agarre_inteligente/experiments/EXP2_SIMPLE_RGBD_seed2/checkpoints/best.pth,/home/laboratorio/TFM/agarre_inteligente/experiments/EXP2_SIMPLE_RGBD_seed2/checkpoints/last.pth
EXP3_RESNET18_RGBD_seed0,resnet18,RGBD,,0,10,0.258004,0.278729,66.84,17.983090,/home/laboratorio/TFM/agarre_inteligente/experiments/EXP3_RESNET18_RGBD_seed0/checkpoints/best.pth,/home/laboratorio/TFM/agarre_inteligente/experiments/EXP3_RESNET18_RGBD_seed0/checkpoints/last.pth
EXP3_RESNET18_RGBD_seed1,resnet18,RGBD,,1,9,0.242938,0.295328,67.66,17.950211,/home/laboratorio/TFM/agarre_inteligente/experiments/EXP3_RESNET18_RGBD_seed1/checkpoints/best.pth,/home/laboratorio/TFM/agarre_inteligente/experiments/EXP3_RESNET18_RGBD_seed1/checkpoints/last.pth
EXP3_RESNET18_RGBD_seed2,resnet18,RGBD,,2,8,0.259887,0.272065,61.64,17.005788,/home/laboratorio/TFM/agarre_inteligente/experiments/EXP3_RESNET18_RGBD_seed2/checkpoints/best.pth,/home/laboratorio/TFM/agarre_inteligente/experiments/EXP3_RESNET18_RGBD_seed2/checkpoints/last.pth
EXP3_RESNET18_RGB_AUGMENT_seed0,resnet18,RGB,geo=1|photo=1,0,9,0.303202,0.309791,56.96,15.874630,/home/laboratorio/TFM/agarre_inteligente/experiments/EXP3_RESNET18_RGB_AUGMENT_seed0/checkpoints/best.pth,/home/laboratorio/TFM/agarre_inteligente/experiments/EXP3_RESNET18_RGB_AUGMENT_seed0/checkpoints/last.pth
EXP3_RESNET18_RGB_AUGMENT_seed1,resnet18,RGB,geo=1|photo=1,1,8,0.239171,0.305115,68.43,17.828861,/home/laboratorio/TFM/agarre_inteligente/experiments/EXP3_RESNET18_RGB_AUGMENT_seed1/checkpoints/best.pth,/home/laboratorio/TFM/agarre_inteligente/experiments/EXP3_RESNET18_RGB_AUGMENT_seed1/checkpoints/last.pth
EXP3_RESNET18_RGB_AUGMENT_seed2,resnet18,RGB,geo=1|photo=1,2,8,0.254237,0.266338,62.52,17.034867,/home/laboratorio/TFM/agarre_inteligente/experiments/EXP3_RESNET18_RGB_AUGMENT_seed2/checkpoints/best.pth,/home/laboratorio/TFM/agarre_inteligente/experiments/EXP3_RESNET18_RGB_AUGMENT_seed2/checkpoints/last.pth
